     14-17 =    -57.5
     14-18 =    190.8
     14-19 =  -0.5454
     14-20 =        0
     14-21 =        0
     14-22 =   -184.4
     14-23 =   -189.3
     14-24 =    173.6
     14-25 =    195.9
     14-26 =        0
     14-27 =        0
     14-28 =   -177.9
     14-29 =        0
     14-30 =        0
     14-31 =        0
     14-32 =        0
     14-33 =        0
     14-34 =        0
     14-35 =   -144.7
     14-36 =   -104.1
     14-37 =        0
     14-38 =        0
     14-39 =        0
     14-40 =    199.7
     15-15 =   -61.63
     15-16 =        0
     15-17 =        0
     15-18 =    132.3
     15-19 =   -49.09
     15-20 =        0
     15-21 =        0
     15-22 =   -159.4
     15-23 =    153.3
     15-24 =   -98.13
     15-25 =    72.88
     15-26 =        0
     15-27 =        0
     15-28 =   -187.4
     15-29 =        0
     15-30 =        0
     15-31 =   -187.8
     15-32 =        0
     15-33 =        0
     15-34 =        0
     15-35 =   -25.54
     15-36 =        0
     15-37 =        0
     15-38 =        0
     15-39 =        0
     15-40 =      200
     16-16 =        0
     16-17 =        0
     16-18 =        0
     16-19 =        0
     16-20 =        0
     16-21 =        0
     16-22 =        0
     16-23 =        0
     16-24 =        0
     16-25 =        0
     16-26 =        0
     16-27 =        0
     16-28 =        0
     16-29 =        0
     16-30 =        0
     16-31 =        0
     16-32 =        0
     16-33 =        0
     16-34 =        0
     16-35 =        0
     16-36 =        0
     16-37 =        0
     16-38 =        0
     16-39 =        0
     16-40 =        0
     17-17 =        0
     17-18 =        0
     17-19 =        0
     17-20 =        0
     17-21 =        0
     17-22 =        0
     17-23 =        0
     17-24 =        0
     17-25 =        0
     17-26 =        0
     17-27 =        0
     17-28 =        0
     17-29 =        0
     17-30 =        0
     17-31 =        0
     17-32 =        0
     17-33 =        0
     17-34 =        0
     17-35 =        0
     17-36 =        0
     17-37 =        0
     17-38 =        0
     17-39 =        0
     17-40 =        0
     18-18 =   -130.1
     18-19 =        0
     18-20 =        0
     18-21 =        0
     18-22 =        0
     18-23 =   -24.19
     18-24 =    2.032
     18-25 =        0
     18-26 =        0
     18-27 =        0
     18-28 =        0
     18-29 =        0
     18-30 =        0
     18-31 =        0
     18-32 =        0
     18-33 =        0
     18-34 =        0
     18-35 =   -104.4
     18-36 =        0
     18-37 =        0
     18-38 =        0
     18-39 =        0
     18-40 =    118.1
     19-19 =        0
     19-20 =        0
     19-21 =        0
     19-22 =        0
     19-23 =        0
     19-24 =   -195.5
     19-25 =        0
     19-26 =        0
     19-27 =        0
     19-28 =        0
     19-29 =        0
     19-30 =        0
     19-31 =        0
     19-32 =        0
     19-33 =        0
     19-34 =        0
     19-35 =        0
     19-36 =        0
     19-37 =        0
     19-38 =        0
     19-39 =        0
     19-40 =   -60.59
     20-20 =        0
     20-21 =        0
     20-22 =        0
     20-23 =        0
     20-24 =        0
     20-25 =        0
     20-26 =        0
     20-27 =        0
     20-28 =        0
     20-29 =        0
     20-30 =        0
     20-31 =        0
     20-32 =        0
     20-33 =        0
     20-34 =        0
     20-35 =        0
     20-36 =        0
     20-37 =        0
     20-38 =        0
     20-39 =        0
     20-40 =        0
     21-21 =        0
     21-22 =        0
     21-23 =        0
     21-24 =        0
     21-25 =        0
     21-26 =        0
     21-27 =        0
     21-28 =        0
     21-29 =        0
     21-30 =        0
     21-31 =        0
     21-32 =        0
     21-33 =        0
     21-34 =        0
     21-35 =        0
     21-36 =        0
     21-37 =        0
     21-38 =        0
     21-39 =        0
     21-40 =        0
     22-22 =        0
     22-23 =        0
     22-24 =        0
     22-25 =        0
     22-26 =        0
     22-27 =        0
     22-28 =   -128.5
     22-29 =        0
     22-30 =        0
     22-31 =        0
     22-32 =        0
     22-33 =        0
     22-34 =        0
     22-35 =    63.79
     22-36 =        0
     22-37 =        0
     22-38 =        0
     22-39 =        0
     22-40 =    17.47
     23-23 =        0
     23-24 =   -144.4
     23-25 =        0
     23-26 =        0
     23-27 =        0
     23-28 =        0
     23-29 =        0
     23-30 =        0
     23-31 =        0
     23-32 =        0
     23-33 =        0
     23-34 =        0
     23-35 =        0
     23-36 =        0
     23-37 =        0
     23-38 =        0
     23-39 =        0
     23-40 =    194.4
     24-24 =        0
     24-25 =        0
     24-26 =        0
     24-27 =        0
     24-28 =        0
     24-29 =        0
     24-30 =        0
     24-31 =        0
     24-32 =        0
     24-33 =        0
     24-34 =        0
     24-35 =        0
     24-36 =        0
     24-37 =        0
     24-38 =        0
     24-39 =        0
     24-40 =    183.9
     25-25 =        0
     25-26 =        0
     25-27 =        0
     25-28 =        0
     25-29 =        0
     25-30 =        0
     25-31 =        0
     25-32 =        0
     25-33 =        0
     25-34 =        0
     25-35 =        0
     25-36 =        0
     25-37 =        0
     25-38 =        0
     25-39 =        0
     25-40 =    77.13
     26-26 =        0
     26-27 =        0
     26-28 =        0
     26-29 =        0
     26-30 =        0
     26-31 =        0
     26-32 =        0
     26-33 =        0
     26-34 =        0
     26-35 =        0
     26-36 =        0
     26-37 =        0
     26-38 =        0
     26-39 =        0
     26-40 =   -52.67
     27-27 =        0
     27-28 =        0
     27-29 =        0
     27-30 =        0
     27-31 =        0
     27-32 =        0
     27-33 =        0
     27-34 =        0
     27-35 =        0
     27-36 =        0
     27-37 =        0
     27-38 =        0
     27-39 =        0
     27-40 =        0
     28-28 =        0
     28-29 =        0
     28-30 =        0
     28-31 =        0
     28-32 =        0
     28-33 =        0
     28-34 =        0
     28-35 =        0
     28-36 =        0
     28-37 =        0
     28-38 =        0
     28-39 =        0
     28-40 =        0
     29-29 =        0
     29-30 =        0
     29-31 =        0
     29-32 =        0
     29-33 =        0
     29-34 =        0
     29-35 =        0
     29-36 =        0
     29-37 =        0
     29-38 =        0
     29-39 =        0
     29-40 =        0
     30-30 =        0
     30-31 =        0
     30-32 =        0
     30-33 =        0
     30-34 =        0
     30-35 =        0
     30-36 =        0
